,Attendees,Sport,Season
0,38624,Athletics,Summer
1,26707,Gymnastics,Summer
2,23195,Swimming,Summer
3,11448,Shooting,Summer
4,10859,Cycling,Summer
5,10735,Fencing,Summer
6,10595,Rowing,Summer
7,9133,Cross Country Skiing,Winter
8,8829,Alpine Skiing,Winter
9,7154,Wrestling,Summer
10,6745,Football,Summer
11,6586,Sailing,Summer
12,6344,Equestrianism,Summer
13,6171,Canoeing,Summer
14,6047,Boxing,Summer
15,5613,Speed Skating,Winter
16,5456,Ice Hockey,Winter
17,5417,Hockey,Summer
18,4893,Biathlon,Winter
19,4536,Basketball,Summer
20,3937,Weightlifting,Summer
21,3846,Water Polo,Summer
22,3801,Judo,Summer
23,3665,Handball,Summer
24,3578,Art Competitions,Summer
25,3404,Volleyball,Summer
26,3058,Bobsleigh,Winter
27,2862,Tennis,Summer
28,2842,Diving,Summer
29,2401,Ski Jumping,Winter
30,2334,Archery,Summer
31,2244,Figure Skating,Winter
32,1955,Table Tennis,Summer
33,1677,Modern Pentathlon,Summer
34,1534,Short Track Speed Skating,Winter
35,1479,Luge,Winter
36,1457,Badminton,Summer
37,1344,Nordic Combined,Winter
38,937,Freestyle Skiing,Winter
39,936,Snowboarding,Winter
40,909,Synchronized Swimming,Summer
41,894,Baseball,Summer
42,658,Rhythmic Gymnastics,Summer
43,606,Taekwondo,Summer
44,564,Beach Volleyball,Summer
45,529,Triathlon,Summer
46,478,Softball,Summer
47,463,Curling,Winter
48,299,Rugby Sevens,Summer
49,247,Golf,Summer
50,199,Skeleton,Winter
51,170,Tug-Of-War,Summer
52,162,Rugby,Summer
53,152,Trampolining,Summer
54,95,Polo,Summer
55,60,Ice Hockey,Summer
56,60,Lacrosse,Summer
57,54,Figure Skating,Summer
58,24,Cricket,Summer
59,24,Military Ski Patrol,Winter
60,21,Alpinism,Winter
61,19,Croquet,Summer
62,17,Motorboating,Summer
63,12,Racquets,Summer
64,11,Jeu De Paume,Summer
65,4,Alpinism,Summer
66,4,Roque,Summer
67,2,Basque Pelota,Summer
68,1,Aeronautics,Summer
